AgmtID,Unique,C1_Region,C1_LDC,C2_OECD,C2_G20,C2_BEPS,C1,C2,Signedyear,Effectiveyear,Type,Ratified,Terminated,5i,5ii,5iii,5iv,5v,5vi,5vii,5viii,7i,7ii,8i,10i,10ii,10iii,11i,12i,12ii,12iii,12iv,13i,13ii,16i,18i,18ii,21i,27i,source.country,destination.country
4568,1,Asia,FALSE,TRUE,FALSE,TRUE,Vietnam,Slovak Republic,2008,2010,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,5,70,10,10,15,YES,YES,7.5,YES,NO,NO,NO,NO,YES,No,VNM,SVK
615,1,Asia,TRUE,TRUE,FALSE,TRUE,Bangladesh,Switzerland,2007,2009,New treaty,Yes,No,6,NO,NO,YES,YES,NO,NO,NO,NO,NO,YES,10,20,15,10,10,NO,NO,"NA",YES,NO,NO,NO,NO,NO,No,BGD,CHE
791,1,Africa,FALSE,TRUE,FALSE,TRUE,Ghana,Belgium,2005,2009,New treaty,Yes,No,6,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,5,10,15,10,10,YES,NO,10,NO,NO,NO,NO,YES,NO,Yes,GHA,BEL
1644,1,Africa,TRUE,TRUE,FALSE,TRUE,Ethiopia,Czech Republic,2007,2009,New treaty,Yes,No,6,YES,6,YES,YES,NO,YES,YES,YES,NO,NO,10,"NA",10,10,10,YES,YES,"NA",NO,YES,NO,NO,NO,YES,No,ETH,CZE
2006,1,Africa,TRUE,TRUE,TRUE,TRUE,Ethiopia,France,2006,2009,New treaty,Yes,No,6,NO,NO,YES,YES,NO,YES,YES,NO,NO,NO,10,"NA",10,5,7.5,YES,YES,"NA",YES,NO,NO,NO,YES,YES,No,ETH,FRA
2503,1,Africa,FALSE,TRUE,FALSE,TRUE,Ghana,Netherlands,2008,2009,New treaty,Yes,No,9,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,5,10,10,8,8,YES,NO,8,YES,NO,NO,NO,NO,NO,Yes,GHA,NLD
3013,1,Asia,FALSE,TRUE,FALSE,TRUE,Vietnam,Ireland,2008,2009,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,5,70,10,10,15,YES,NO,7.5,YES,NO,NO,NO,NO,YES,No,VNM,IRL
3197,1,Asia,FALSE,TRUE,TRUE,TRUE,Pakistan,Japan,2008,2009,Renegotiation,Yes,No,6,YES,NO,NO,NO,YES,NO,NO,NO,YES,NO,5,50,10,10,10,YES,YES,10,YES,YES,NO,NO,NO,YES,No,PAK,JPN
3543,1,Asia,FALSE,FALSE,FALSE,FALSE,Pakistan,Lebanon,2005,2009,New treaty,Yes,No,6,NO,3,YES,YES,NO,YES,YES,NO,NO,NO,10,"NA",10,10,7.5,YES,NO,"NA",NO,NO,NO,NO,YES,NO,No,PAK,LBN
4025,1,Asia,FALSE,FALSE,FALSE,FALSE,Pakistan,Nepal,2001,2009,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,10,10,15,15,15,YES,YES,15,YES,YES,YES,NO,YES,YES,No,PAK,NPL
4025,0,Asia,TRUE,FALSE,FALSE,FALSE,Nepal,Pakistan,2001,2009,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,YES,10,10,15,15,15,YES,YES,15,YES,YES,YES,NO,YES,YES,No,NPL,PAK
4141,1,Africa,FALSE,FALSE,TRUE,TRUE,Nigeria,South Africa,2e3,2009,New treaty,Yes,No,6,YES,6,YES,YES,NO,NO,NO,YES,YES,YES,7.5,10,10,7.5,7.5,YES,YES,"NA",NO,NO,NO,YES,NO,YES,No,NGA,ZAF
4228,1,Asia,FALSE,FALSE,FALSE,FALSE,Vietnam,Oman,2008,2009,New treaty,Yes,No,6,YES,6,NO,NO,YES,YES,YES,YES,YES,NO,5,60,15,10,10,YES,YES,10,YES,YES,NO,NO,YES,YES,Yes,VNM,OMN
4247,1,Asia,FALSE,TRUE,FALSE,TRUE,Pakistan,Switzerland,2005,2009,Renegotiation,Yes,No,6,YES,NO,YES,YES,YES,YES,YES,NO,NO,YES,10,20,20,10,10,YES,YES,10,NO,YES,NO,NO,NO,"NA",No,PAK,CHE
4307,1,Asia,FALSE,FALSE,FALSE,FALSE,Philippines,United Arab Emirates,2003,2009,New treaty,Yes,No,6,YES,6,NO,NO,YES,NO,NO,YES,NO,YES,10,10,15,10,10,YES,YES,"NA",YES,NO,NO,NO,YES,NO,No,PHL,ARE
402,1,Asia,FALSE,TRUE,FALSE,TRUE,Pakistan,Austria,2005,2008,Renegotiation,Yes,No,6,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,10,20,15,15,10,YES,YES,10,YES,YES,YES,NO,NO,YES,No,PAK,AUT
2009,1,Africa,TRUE,TRUE,FALSE,TRUE,Ethiopia,Israel,2004,2008,New treaty,Yes,No,9,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,10,15,10,5,YES,NO,"NA",YES,YES,NO,NO,YES,NO,No,ETH,ISR
2024,1,Africa,TRUE,FALSE,FALSE,FALSE,Ethiopia,Tunisia,2003,2008,New treaty,Yes,No,9,YES,NO,NO,YES,YES,YES,YES,NO,NO,NO,5,"NA",5,10,5,YES,YES,"NA",NO,NO,NO,NO,NO,NO,No,ETH,TUN
2025,1,Africa,TRUE,TRUE,TRUE,TRUE,Ethiopia,Turkey,2005,2008,New treaty,Yes,No,12,NO,NO,YES,YES,NO,NO,YES,YES,NO,NO,10,"NA",10,10,10,YES,NO,"NA",NO,NO,NO,NO,NO,NO,No,ETH,TUR
2355,1,Africa,FALSE,TRUE,TRUE,TRUE,Ghana,Germany,2004,2008,New treaty,Yes,No,9,NO,NO,YES,YES,NO,NO,NO,NO,YES,NO,5,10,15,10,8,YES,NO,8,YES,NO,NO,NO,YES,NO,No,GHA,DEU
2508,1,Africa,FALSE,FALSE,TRUE,TRUE,Ghana,South Africa,2004,2008,New treaty,Yes,No,6,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,5,10,15,10,10,YES,NO,10,YES,NO,NO,NO,YES,YES,Yes,GHA,ZAF
